instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
C1_10_1,C1,BIH-ACO,2026.0,True,1000,107,47296.990632,140535.679168,93.043135,0.0,0.0,0.0
C1_10_10,C1,BIH-ACO,2026.0,True,1000,125,76747.363176,182227.33851,111.006533,2.34375,18.716323404471865,3.1415614693192486
C1_10_2,C1,BIH-ACO,2026.0,True,1000,98,58203.711653,152181.151912,92.049703,0.0,0.0,0.0
C1_10_3,C1,BIH-ACO,2026.0,True,1000,98,73352.658185,166828.679007,100.443934,0.0,0.0,0.0
C1_10_4,C1,BIH-ACO,2026.0,True,1000,100,72041.647296,168841.860567,102.694034,0.0,0.0,0.0
C1_10_5,C1,BIH-ACO,2026.0,True,1000,115,54791.678176,149335.664548,104.330557,0.0,0.0,0.0
C1_10_6,C1,BIH-ACO,2026.0,True,1000,126,62167.758631,159456.178834,91.279696,0.0,0.0,0.0
C1_10_7,C1,BIH-ACO,2026.0,True,1000,108,53106.56197,145153.109021,90.794171,0.0,0.0,0.0
C1_10_8,C1,BIH-ACO,2026.0,True,1000,123,69676.837362,166790.654239,94.056524,0.0,0.0,0.0
C1_10_9,C1,BIH-ACO,2026.0,True,1000,106,63627.325361,155492.99799,105.437967,0.0,0.0,0.0
C2_10_1,C2,BIH-ACO,2026.0,True,1000,34,21880.385451,117411.514606,99.923015,0.0,0.0,0.0
C2_10_10,C2,BIH-ACO,2026.0,True,1000,37,38106.759121,143201.891157,110.418497,0.0,0.0,0.0
C2_10_2,C2,BIH-ACO,2026.0,True,1000,36,48347.11565,139805.219202,94.789655,0.0,0.0,0.0
C2_10_3,C2,BIH-ACO,2026.0,True,1000,38,54348.179713,145687.200441,110.733617,0.0,0.0,0.0
C2_10_4,C2,BIH-ACO,2026.0,True,1000,34,33913.376597,130931.408189,93.905509,0.0,0.0,0.0
C2_10_5,C2,BIH-ACO,2026.0,True,1000,35,24019.610412,121420.142449,116.563505,0.0,0.0,0.0
C2_10_6,C2,BIH-ACO,2026.0,True,1000,41,52551.450761,145431.195638,92.574777,0.0,0.0,0.0
C2_10_7,C2,BIH-ACO,2026.0,True,1000,43,47542.148059,149302.580532,115.555568,0.0,0.0,0.0
C2_10_8,C2,BIH-ACO,2026.0,True,1000,34,33777.110849,129832.284209,94.877197,0.0,0.0,0.0
C2_10_9,C2,BIH-ACO,2026.0,True,1000,44,53484.893324,152025.707757,102.651392,0.0,0.0,0.0
R1_10_1,R1,BIH-ACO,2026.0,True,1000,107,84531.161718,161902.070425,96.349157,0.0,0.0,0.0
R1_10_10,R1,BIH-ACO,2026.0,True,1000,92,90971.062099,146950.055281,105.206364,0.0,0.0,0.0
R1_10_2,R1,BIH-ACO,2026.0,True,1000,92,83100.98594,140236.822722,107.319657,0.0,0.0,0.0
R1_10_3,R1,BIH-ACO,2026.0,True,1000,92,93988.471455,134220.907263,99.048313,0.0,0.0,0.0
R1_10_4,R1,BIH-ACO,2026.0,True,1000,92,100274.407495,125454.880118,90.286584,0.0,0.0,0.0
R1_10_5,R1,BIH-ACO,2026.0,True,1000,98,79890.36582,158744.726986,103.369965,0.0,0.0,0.0
R1_10_6,R1,BIH-ACO,2026.0,True,1000,92,78983.170125,130553.943538,106.830409,0.0,0.0,0.0
R1_10_7,R1,BIH-ACO,2026.0,True,1000,92,90672.776964,128513.119423,95.443519,0.0,0.0,0.0
R1_10_8,R1,BIH-ACO,2026.0,True,1000,92,104187.104215,124925.936965,106.708055,0.0,0.0,0.0
R1_10_9,R1,BIH-ACO,2026.0,True,1000,95,84878.800739,153264.94625,91.564489,0.0,0.0,0.0
R2_10_1,R2,BIH-ACO,2026.0,True,1000,21,73442.537593,132868.462617,105.119933,0.0,0.0,0.0
R2_10_10,R2,BIH-ACO,2026.0,True,1000,19,68782.320297,122282.947014,99.236177,0.0,0.0,0.0
R2_10_2,R2,BIH-ACO,2026.0,True,1000,19,61067.524236,109219.954976,113.918465,0.0,0.0,0.0
R2_10_3,R2,BIH-ACO,2026.0,True,1000,19,49421.877955,120730.425525,131.540584,0.0,0.0,0.0
R2_10_4,R2,BIH-ACO,2026.0,True,1000,19,44273.179568,71678.847284,132.934008,0.0,0.0,0.0
R2_10_5,R2,BIH-ACO,2026.0,True,1000,19,69610.030041,125126.643092,101.328217,0.0,0.0,0.0
R2_10_6,R2,BIH-ACO,2026.0,True,1000,19,65076.257448,106484.344587,90.449677,0.0,0.0,0.0
R2_10_7,R2,BIH-ACO,2026.0,True,1000,19,55333.003861,119273.697755,100.843429,0.0,0.0,0.0
R2_10_8,R2,BIH-ACO,2026.0,True,1000,19,44200.285654,68174.535727,141.170916,0.0,0.0,0.0
R2_10_9,R2,BIH-ACO,2026.0,True,1000,19,67314.854753,124389.197216,95.094222,0.0,0.0,0.0
RC1_10_1,RC1,BIH-ACO,2026.0,True,1000,94,66172.195671,121723.394222,102.879802,0.0,0.0,0.0
